Name,Repo Link,Region,Elevation,Lat/Long,x,y
Dome C,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Dome+C%22&tags=Automatic+weather+stations,High Polar Plateau,3280m,-74.500S / 123.000E,123,-74.5
Dome C II,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Dome+C+II%22&tags=Automatic+weather+stations,High Polar Plateau,3250m,-75.106S / 123.346E,123.346,-75.106
Dome Fuji,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Dome+Fuji%22&tags=Automatic+weather+stations,High Polar Plateau,3810m,-77.310S / 39.700E,39.7,-77.31
Doug,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Doug%22&tags=Automatic+weather+stations,West Antarctica,1433m,-82.315S / -113.240W,-113.24,-82.315
E-66,https://amrdcdata.ssec.wisc.edu/dataset?q=%22E-66%22&tags=Automatic+weather+stations,Adelie Coast,2485m,-68.912S / 134.622E,134.622,-68.912
Elaine,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Elaine%22&tags=Automatic+weather+stations,Ross Ice Shelf,59m,-83.069S / 174.239E,174.239,-83.069
Elizabeth,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Elizabeth%22&tags=Automatic+weather+stations,West Antarctica,523.101m,-82.608S / -137.080W,-137.08,-82.608
Emilia,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Emilia%22&tags=Automatic+weather+stations,Ross Ice Shelf,51.589m,-78.426S / 173.186E,173.186,-78.426
Emma,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Emma%22&tags=Automatic+weather+stations,Ross Ice Shelf,81.157m,-84.000S / -174.999W,-174.999,-84
Eric,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Eric%22&tags=Automatic+weather+stations,Ross Ice Shelf,45.885m,-81.489S / 163.956E,163.956,-81.489
Erin,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Erin%22&tags=Automatic+weather+stations,West Antarctica,988.331m,-84.902S / -128.866W,-128.866,-84.902
Evans Knoll,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Evans+Knoll%22&tags=Automatic+weather+stations,West Antarctica,188m,-74.850S / -100.404W,-100.404,-74.85
Ferrell,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Ferrell%22&tags=Automatic+weather+stations,Ross Island Vicinity,43.323m,-77.784S / 170.816E,170.816,-77.784
Fogle (Arrival Heights),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Fogle%22&tags=Automatic+weather+stations,Ross Island Vicinity,200m,-77.900S / 166.720E,166.72,-77.9
Fossil Bluff,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Fossil+Bluff%22&tags=Automatic+weather+stations,Antarctic Peninsula,63m,-71.333S / -68.283W,-68.283,-71.333
Gerlache Strait,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Gerlache+Strait%22&tags=Automatic+weather+stations,Antarctic Peninsula,10m,-64.717S / -62.872W,-62.872,-64.717
Gill,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Gill%22&tags=Automatic+weather+stations,Ross Ice Shelf,53.075m,-79.823S / -178.536W,-178.536,-79.823
Halley Bay (Halley),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Halley%22&tags=Automatic+weather+stations,Antarctic Peninsula,52m,-75.500S / -26.650W,-26.65,-75.5
